district,month,price,available_lid
South Boston,7,246.439453125,84
South Boston,8,251.21400472069237,83
South Boston,9,267.2751388032079,131
South Boston,10,260.625269512721,118
South Boston,11,228.7737150741635,123
South Boston,12,210.95004803073968,125
South Dorchester,1,76.20270270270271,61
South Dorchester,2,74.92629716981132,63
South Dorchester,3,76.7621985417835,62
South Dorchester,4,79.13421210305572,58
South Dorchester,5,78.04394942805538,56
South Dorchester,6,80.25534591194969,54
South Dorchester,7,80.21206690561529,55
South Dorchester,8,78.6518563603165,54
South Dorchester,9,82.4032786885246,65
South Dorchester,10,81.33048676345004,53
South Dorchester,11,82.18170266836087,57
South Dorchester,12,79.14741035856574,65
South End,1,222.16150627615062,124
South End,2,223.42078158133899,123
South End,3,229.43447837150129,123
South End,4,256.0563947633434,118
South End,5,265.66465256797585,102
South End,6,277.025204359673,100
South End,7,294.81254061078624,101
South End,8,306.79050368944496,103
South End,9,279.7883064516129,170
South End,10,262.01030042918455,151
South End,11,223.8208224543081,138
South End,12,224.8768928771733,142
West Roxbury,1,95.610101010101,17
West Roxbury,2,95.4035874439462,17
West Roxbury,3,96.43710021321962,17
West Roxbury,4,97.52888888888889,16
West Roxbury,5,96.69782608695652,16
West Roxbury,6,102.51773049645391,16
West Roxbury,7,106.12672811059907,15
West Roxbury,8,105.50230414746544,15
West Roxbury,9,97.62116040955631,23
West Roxbury,10,92.37054631828978,21
West Roxbury,11,94.11422845691382,22
West Roxbury,12,95.21343873517786,23
